iter	Passed	Remaining
0	1	1004
1	1	858
2	2	831
3	3	825
4	4	803
5	4	796
6	5	798
7	6	791
8	7	775
9	7	764
10	8	762
11	9	758
12	9	748
13	10	752
14	11	752
15	12	743
16	12	739
17	13	740
18	14	734
19	14	728
20	15	729
21	16	724
22	17	723
23	17	718
24	18	715
25	19	713
26	19	709
27	20	706
28	21	705
29	21	700
30	22	698
31	23	698
32	23	696
33	24	694
34	25	691
35	25	689
36	26	687
37	27	686
38	27	685
39	28	683
40	29	681
41	29	681
42	30	680
43	31	678
44	31	676
45	32	675
46	33	673
47	33	671
48	34	670
49	35	670
50	36	670
51	36	669
52	37	669
53	38	667
54	38	667
55	39	665
56	40	665
57	41	668
58	41	667
59	42	665
60	43	664
61	43	663
62	44	662
63	45	661
64	45	659
65	46	659
66	47	658
67	47	657
68	48	656
69	49	655
70	50	655
71	50	654
72	51	653
73	52	653
74	52	652
75	53	652
76	54	650
77	54	649
78	55	648
79	56	648
80	56	646
81	57	646
82	58	645
83	59	643
84	59	643
85	60	642
86	61	640
87	61	639
88	62	637
89	63	637
90	63	635
91	64	634
92	64	633
93	65	631
94	66	629
95	66	628
96	67	626
97	67	624
98	68	623
99	69	621
100	69	620
101	70	620
102	71	618
103	71	617
104	72	616
105	72	615
106	73	614
107	74	612
108	74	611
109	75	610
110	75	608
111	76	607
112	77	606
113	77	604
114	78	603
115	79	602
116	79	601
117	80	599
118	80	598
119	81	596
120	81	595
121	82	594
122	83	593
123	83	592
124	84	592
125	85	591
126	85	590
127	86	589
128	87	587
129	87	587
130	88	585
131	88	584
132	89	583
133	90	582
134	90	581
135	91	579
136	91	578
137	92	577
138	92	575
139	93	574
140	94	573
141	94	572
142	95	571
143	96	570
144	96	569
145	97	569
146	97	568
147	98	567
148	99	566
149	99	564
150	100	563
151	100	562
152	101	561
153	102	560
154	102	560
155	103	559
156	104	558
157	104	558
158	105	556
159	105	555
160	106	554
161	106	553
162	107	552
163	108	551
164	108	551
165	109	550
166	110	549
167	110	548
168	111	547
169	111	546
170	112	546
171	113	545
172	113	544
173	114	543
