iter	RMSE
0	15.01590569
1	14.91959715
2	14.81803499
3	14.72429446
4	14.62442008
5	14.53046558
6	14.44166055
7	14.35866698
8	14.26781253
9	14.17328856
10	14.08050776
11	13.99925532
12	13.91757072
13	13.82860684
14	13.74194733
15	13.64743709
16	13.55735372
17	13.47540734
18	13.38581879
19	13.30013172
20	13.22807419
21	13.15176118
22	13.06677288
23	12.98316183
24	12.90231841
25	12.83109238
26	12.75733188
27	12.68180632
28	12.60371757
29	12.53426321
30	12.46605993
31	12.38779737
32	12.31375953
33	12.23511287
34	12.16013069
35	12.09054603
36	12.01533956
37	11.94832883
38	11.87420805
39	11.80062229
40	11.7352733
41	11.67247776
42	11.60188042
43	11.54023669
44	11.47564497
45	11.40986191
46	11.34864011
47	11.28780531
48	11.22705052
49	11.16966992
50	11.10967517
51	11.04726218
52	10.98880544
53	10.92705828
54	10.86587479
55	10.80808961
56	10.74835833
57	10.68685885
58	10.63489151
59	10.58515674
60	10.52737762
61	10.47104122
62	10.41878229
63	10.36130293
64	10.30395999
65	10.24705333
66	10.19305905
67	10.14226859
68	10.09163811
69	10.04364316
70	9.991967865
71	9.944086115
72	9.891509453
73	9.843141577
74	9.792233411
75	9.744455116
76	9.699776874
77	9.652260261
78	9.606263217
79	9.558025129
80	9.517623903
81	9.475273377
82	9.433170987
83	9.385075316
84	9.342168679
85	9.305290863
86	9.262193853
87	9.219601668
88	9.183809939
89	9.142602003
90	9.106331246
91	9.06244644
92	9.020073212
93	8.983891596
94	8.947677944
95	8.913084721
96	8.871329472
97	8.830104734
98	8.789532281
99	8.750308727
100	8.711524555
101	8.672760839
102	8.642468358
103	8.609379157
104	8.575383342
105	8.538783759
106	8.502662538
107	8.471082168
108	8.439858353
109	8.409683973
110	8.375326311
111	8.340509601
112	8.307779186
113	8.277420177
114	8.24980255
115	8.224004131
116	8.194022127
117	8.164926381
118	8.135785711
119	8.108702966
120	8.07824015
121	8.049265974
122	8.018905604
123	7.988204872
124	7.957182974
125	7.933678829
126	7.906921133
127	7.878752726
128	7.852167574
129	7.832938605
130	7.805755202
131	7.780577915
132	7.752232692
133	7.728792462
134	7.705575381
135	7.682050652
136	7.656249792
137	7.629167147
138	7.602507804
139	7.579425856
140	7.555700738
141	7.53252906
142	7.509106508
143	7.487618516
144	7.466267547
145	7.443546972
146	7.420450073
147	7.399832498
148	7.377518215
149	7.358826397
150	7.338803466
151	7.316138514
152	7.297214574
153	7.275956643
154	7.253328342
155	7.23269283
156	7.213756014
157	7.193795032
158	7.176088981
159	7.154111144
160	7.135479887
161	7.117918842
162	7.097331245
163	7.078187974
164	7.059854049
165	7.041079754
166	7.022856229
167	7.00711212
168	6.98958647
169	6.971789419
170	6.954732456
171	6.934393183
172	6.916687394
173	6.899498334
