iter	RMSE
0	41.58676883
1	41.30259577
2	41.03580593
3	40.76301456
4	40.49208813
5	40.24497148
6	40.06675993
7	39.83846795
8	39.60997281
9	39.45251252
10	39.27092761
11	39.11170002
12	38.99363936
13	38.82894959
14	38.70435488
15	38.55737568
16	38.43128901
17	38.31176023
18	38.19482237
19	38.07832767
20	37.98037689
21	37.86024467
22	37.77088967
23	37.65387694
24	37.5368761
25	37.48827516
26	37.37485875
27	37.27854317
28	37.18367008
29	37.0846004
30	37.00747605
31	36.99300025
32	36.90127349
33	36.81311409
34	36.75947413
35	36.72993095
36	36.66184805
37	36.60572133
38	36.53295963
39	36.46916893
40	36.43534756
41	36.36838681
42	36.34107156
43	36.28259042
44	36.22098264
45	36.16340427
46	36.11200257
47	36.08525925
48	36.03667604
49	35.9742458
50	35.92158232
51	35.86866715
52	35.81723417
53	35.76852795
54	35.71796467
55	35.66779849
56	35.63649892
57	35.58811896
58	35.55370133
59	35.51132295
60	35.484939
61	35.43887315
62	35.39390661
63	35.36413218
64	35.3398039
65	35.30888066
66	35.28002147
67	35.25800353
68	35.22852675
69	35.21091686
70	35.1835567
71	35.14911968
72	35.12931206
73	35.09997593
74	35.08473339
75	35.05359589
76	35.05177208
77	35.04105953
78	35.02536299
79	35.00435597
80	34.97238656
81	34.94589177
82	34.92387117
83	34.89886944
84	34.87365965
85	34.83963522
86	34.82713826
87	34.82509593
88	34.79827645
89	34.77548414
90	34.75150398
91	34.73394545
92	34.73134998
93	34.70318296
94	34.67610421
95	34.65855762
96	34.65245546
97	34.63372633
98	34.61866694
99	34.61248146
100	34.59103342
101	34.56971589
102	34.55768979
103	34.5551977
104	34.55266382
105	34.53752788
106	34.52453214
107	34.52380211
108	34.52196832
109	34.50436521
110	34.48416103
111	34.46866774
112	34.4435592
113	34.43308159
114	34.42020283
115	34.40824437
116	34.39767016
117	34.3765783
118	34.35081172
119	34.35000017
120	34.32985401
121	34.31825702
122	34.3023053
123	34.27989438
124	34.27746641
125	34.26841062
126	34.2581078
127	34.25015585
128	34.23279345
129	34.23019709
130	34.2146572
131	34.21184066
132	34.19453053
133	34.18638986
134	34.17994895
135	34.16360742
136	34.14734236
137	34.14463758
138	34.13164859
139	34.12185258
140	34.11954718
141	34.10965994
142	34.09982532
143	34.09609898
144	34.08499141
145	34.06730946
146	34.0623114
147	34.05287489
148	34.05063342
149	34.03921906
150	34.02446793
151	34.00412688
152	34.00350762
153	33.99123084
154	33.99109824
155	33.98305596
156	33.97450467
157	33.9619119
158	33.95069007
159	33.94424765
160	33.93559243
161	33.93054477
162	33.91149084
163	33.89340766
164	33.88536093
165	33.8779314
166	33.86583639
167	33.8547486
168	33.84670469
169	33.83592434
170	33.82231035
171	33.81701167
172	33.80342249
173	33.80331981
174	33.7894837
175	33.78265749
176	33.7748397
177	33.76302267
178	33.7494042
179	33.73397899
180	33.71620411
181	33.70346839
182	33.69997632
183	33.69019015
184	33.68914849
185	33.68910628
186	33.68747028
187	33.67768442
188	33.66463733
189	33.65265716
190	33.64259341
191	33.63010069
192	33.62268075
193	33.6130393
194	33.60092639
195	33.59430229
196	33.59342477
197	33.59261089
198	33.57483629
199	33.56008985
200	33.5513254
201	33.53764303
202	33.52774132
203	33.51913428
204	33.50744078
205	33.49984993
206	33.48914297
207	33.47760094
208	33.46744828
209	33.45980119
210	33.45369152
211	33.44367645
212	33.43592378
213	33.42730504
214	33.41543605
215	33.40846652
216	33.39475917
217	33.38714187
218	33.38262453
219	33.37338221
220	33.36807239
221	33.35984546
222	33.34799017
223	33.3359227
224	33.32869048
225	33.32223737
226	33.31303294
227	33.30458012
228	33.2950404
229	33.28266921
230	33.27609791
231	33.26333899
232	33.25337296
233	33.24346151
234	33.23476441
235	33.22364478
236	33.21306944
237	33.20398462
238	33.1981352
239	33.19157055
240	33.18267626
241	33.17588268
242	33.16868055
243	33.16150646
244	33.15473343
245	33.14785321
246	33.13859916
247	33.1298054
248	33.12559496
249	33.11995306
250	33.11576874
251	33.10614729
252	33.0987886
253	33.09412485
254	33.08790926
255	33.07707871
256	33.07268737
257	33.06624746
258	33.06108579
259	33.05428083
260	33.04438351
261	33.04060632
262	33.0372983
263	33.02986957
264	33.02453134
265	33.01509184
266	33.00690009
267	32.99860148
268	32.99250603
269	32.98740516
270	32.9801159
271	32.97761014
272	32.97087471
273	32.96322217
274	32.95682664
275	32.95210753
276	32.9467985
277	32.93948836
278	32.93317229
279	32.92576965
280	32.91970511
281	32.91522927
282	32.91185947
283	32.90684556
284	32.89772906
285	32.89003816
286	32.88585468
287	32.88306877
288	32.8781492
289	32.87427841
290	32.87218939
291	32.86620264
292	32.86242551
293	32.8561991
294	32.85036488
295	32.84674626
296	32.83983431
297	32.83682677
298	32.83178993
299	32.82393517
300	32.81794459
301	32.81090623
302	32.80272024
303	32.79757829
304	32.79454902
305	32.78684258
306	32.78176235
307	32.77533603
308	32.76896196
309	32.76284276
310	32.76010324
311	32.75473518
312	32.752135
313	32.74614028
314	32.74125189
315	32.73754995
316	32.73203573
317	32.72834108
318	32.72481648
319	32.72030293
320	32.71570384
321	32.71433503
322	32.70875285
323	32.70617063
324	32.70195248
325	32.69947168
326	32.69341067
327	32.68919441
328	32.68567331
329	32.68161194
330	32.67548703
331	32.6735439
332	32.66993136
333	32.66510031
334	32.66136826
335	32.65854071
336	32.65477299
337	32.651422
338	32.64811515
339	32.64551035
340	32.64212672
341	32.63650731
342	32.63340809
343	32.6273261
344	32.62396939
345	32.61816585
346	32.6151134
347	32.6105
348	32.60624126
349	32.60324363
350	32.59813765
351	32.59509938
352	32.59222442
353	32.58960719
354	32.58516876
355	32.58314368
356	32.57979352
357	32.57774107
358	32.57544333
359	32.57097968
360	32.56913882
361	32.56676516
362	32.56402028
363	32.56045871
364	32.55898794
365	32.55553325
366	32.55097334
367	32.54918092
368	32.54698658
369	32.54284342
370	32.540662
371	32.53678625
372	32.53452948
373	32.53001404
374	32.52657415
375	32.52252925
376	32.51776875
377	32.51583181
378	32.5135981
379	32.50894514
380	32.50693465
381	32.50400439
382	32.50023928
383	32.49735518
384	32.49376449
385	32.49012309
386	32.48822565
387	32.48434777
388	32.48001553
389	32.47753245
390	32.47476085
391	32.47063467
392	32.46771341
